espn_team_id,display_name,location,name,short_display_name,abbreviation,color,alternate_color,logo_url,league_id,id
6,"Dallas Mavericks",Dallas,Mavericks,Mavericks,DAL,0064b1,bbc4ca,https://a.espncdn.com/i/teamlogos/nba/500/dal.png,2,173
7,"Denver Nuggets",Denver,Nuggets,Nuggets,DEN,0e2240,fec524,https://a.espncdn.com/i/teamlogos/nba/500/den.png,2,174
8,"Detroit Pistons",Detroit,Pistons,Pistons,DET,1d428a,c8102e,https://a.espncdn.com/i/teamlogos/nba/500/det.png,2,175
9,"Golden State Warriors","Golden State",Warriors,Warriors,GS,fdb927,1d428a,https://a.espncdn.com/i/teamlogos/nba/500/gs.png,2,176
10,"Houston Rockets",Houston,Rockets,Rockets,HOU,ce1141,000000,https://a.espncdn.com/i/teamlogos/nba/500/hou.png,2,177
11,"Indiana Pacers",Indiana,Pacers,Pacers,IND,0c2340,ffd520,https://a.espncdn.com/i/teamlogos/nba/500/ind.png,2,178
12,"LA Clippers",LA,Clippers,Clippers,LAC,12173f,c8102e,https://a.espncdn.com/i/teamlogos/nba/500/lac.png,2,179
13,"Los Angeles Lakers","Los Angeles",Lakers,Lakers,LAL,552583,fdb927,https://a.espncdn.com/i/teamlogos/nba/500/lal.png,2,180
14,"Miami Heat",Miami,Heat,Heat,MIA,98002e,000000,https://a.espncdn.com/i/teamlogos/nba/500/mia.png,2,181
15,"Milwaukee Bucks",Milwaukee,Bucks,Bucks,MIL,00471b,eee1c6,https://a.espncdn.com/i/teamlogos/nba/500/mil.png,2,182
16,"Minnesota Timberwolves",Minnesota,Timberwolves,Timberwolves,MIN,266092,79bc43,https://a.espncdn.com/i/teamlogos/nba/500/min.png,2,183
17,"Brooklyn Nets",Brooklyn,Nets,Nets,BKN,000000,ffffff,https://a.espncdn.com/i/teamlogos/nba/500/bkn.png,2,184
18,"New York Knicks","New York",Knicks,Knicks,NY,1d428a,f58426,https://a.espncdn.com/i/teamlogos/nba/500/ny.png,2,185
19,"Orlando Magic",Orlando,Magic,Magic,ORL,0150b5,9ca0a3,https://a.espncdn.com/i/teamlogos/nba/500/orl.png,2,186
20,"Philadelphia 76ers",Philadelphia,76ers,76ers,PHI,1d428a,e01234,https://a.espncdn.com/i/teamlogos/nba/500/phi.png,2,187
21,"Phoenix Suns",Phoenix,Suns,Suns,PHX,29127a,e56020,https://a.espncdn.com/i/teamlogos/nba/500/phx.png,2,188
22,"Portland Trail Blazers",Portland,"Trail Blazers","Trail Blazers",POR,e03a3e,000000,https://a.espncdn.com/i/teamlogos/nba/500/por.png,2,189
23,"Sacramento Kings",Sacramento,Kings,Kings,SAC,5a2d81,6a7a82,https://a.espncdn.com/i/teamlogos/nba/500/sac.png,2,190
24,"San Antonio Spurs","San Antonio",Spurs,Spurs,SA,000000,c4ced4,https://a.espncdn.com/i/teamlogos/nba/500/sa.png,2,191
25,"Oklahoma City Thunder","Oklahoma City",Thunder,Thunder,OKC,007ac1,ef3b24,https://a.espncdn.com/i/teamlogos/nba/500/okc.png,2,192
26,"Utah Jazz",Utah,Jazz,Jazz,UTAH,4e008e,79a3dc,https://a.espncdn.com/i/teamlogos/nba/500/utah.png,2,193
27,"Washington Wizards",Washington,Wizards,Wizards,WSH,e31837,002b5c,https://a.espncdn.com/i/teamlogos/nba/500/wsh.png,2,194
28,"Toronto Raptors",Toronto,Raptors,Raptors,TOR,d91244,000000,https://a.espncdn.com/i/teamlogos/nba/500/tor.png,2,195
29,"Memphis Grizzlies",Memphis,Grizzlies,Grizzlies,MEM,5d76a9,12173f,https://a.espncdn.com/i/teamlogos/nba/500/mem.png,2,196
30,"Charlotte Hornets",Charlotte,Hornets,Hornets,CHA,008ca8,1d1060,https://a.espncdn.com/i/teamlogos/nba/500/cha.png,2,197
1,"Baltimore Orioles",Baltimore,Orioles,Orioles,BAL,df4601,000000,https://a.espncdn.com/i/teamlogos/mlb/500/bal.png,4,198
2,"Boston Red Sox",Boston,"Red Sox","Red Sox",BOS,0d2b56,bd3039,https://a.espncdn.com/i/teamlogos/mlb/500/bos.png,4,199
3,"Los Angeles Angels","Los Angeles",Angels,Angels,LAA,ba0021,c4ced4,https://a.espncdn.com/i/teamlogos/mlb/500/laa.png,4,200
4,"Chicago White Sox",Chicago,"White Sox","White Sox",CHW,000000,c4ced4,https://a.espncdn.com/i/teamlogos/mlb/500/chw.png,4,201
5,"Cleveland Guardians",Cleveland,Guardians,Guardians,CLE,002b5c,e31937,https://a.espncdn.com/i/teamlogos/mlb/500/cle.png,4,202
6,"Detroit Tigers",Detroit,Tigers,Tigers,DET,0a2240,ff4713,https://a.espncdn.com/i/teamlogos/mlb/500/det.png,4,203
7,"Kansas City Royals","Kansas City",Royals,Royals,KC,004687,7ab2dd,https://a.espncdn.com/i/teamlogos/mlb/500/kc.png,4,204
8,"Milwaukee Brewers",Milwaukee,Brewers,Brewers,MIL,13294b,ffc72c,https://a.espncdn.com/i/teamlogos/mlb/500/mil.png,4,205
9,"Minnesota Twins",Minnesota,Twins,Twins,MIN,031f40,e20e32,https://a.espncdn.com/i/teamlogos/mlb/500/min.png,4,206
